body_name,parent_body,joint_name,joint_type,joint_axis,range_min,range_max,pos_x,pos_y,pos_z,is_path_point,meshes
vas_int_l_vas_int_l-P4,tibia_l,vas_int_l_vas_int_l-P4_x,slide,1.0 -0.0 0.0,0.008273,0.06844,0.0,0.001801,0.0,True,
vas_int_l_vas_int_l-P4,tibia_l,vas_int_l_vas_int_l-P4_y,slide,0.0 -0.0 1.0,-0.06857,0.02752,0.0,0.001801,0.0,True,
vas_int_l_vas_int_l-P3,femur_l,vas_int_l_vas_int_l-P3_y,slide,0.0 -0.0 1.0,-0.403,-0.2084,0.0335,-0.0,0.0,True,
vas_int_l_vas_int_l-P3,femur_l,vas_int_l_vas_int_l-P3_z,slide,0.0 -1.0 0.0,-0.0285,-0.0055,0.0335,-0.0,0.0,True,
med_gas_l_med_gas_l-P2,femur_l,med_gas_l_med_gas_l-P2_x,slide,1.0 -0.0 0.0,-0.03,-0.019,0.0,-0.0,0.0,True,
med_gas_l_med_gas_l-P2,femur_l,med_gas_l_med_gas_l-P2_y,slide,0.0 -0.0 1.0,-0.4022,-0.3929,0.0,-0.0,0.0,True,
med_gas_l_med_gas_l-P2,femur_l,med_gas_l_med_gas_l-P2_z,slide,0.0 -1.0 0.0,0.0235,0.0258,0.0,-0.0,0.0,True,
torso,pelvis,lumbar_extension,hinge,0.0 -1.0 0.0,-1.571,1.571,-0.1007,-0.0,0.0815,False,Geometry/hat_spine.stl;Geometry/hat_jaw.stl;Geometry/hat_skull.stl;Geometry/hat_ribs.stl
torso,pelvis,lumbar_bending,hinge,1.0 -0.0 0.0,-1.571,1.571,-0.1007,-0.0,0.0815,False,Geometry/hat_spine.stl;Geometry/hat_jaw.stl;Geometry/hat_skull.stl;Geometry/hat_ribs.stl
torso,pelvis,lumbar_rotation,hinge,0.0 -0.0 1.0,-1.571,1.571,-0.1007,-0.0,0.0815,False,Geometry/hat_spine.stl;Geometry/hat_jaw.stl;Geometry/hat_skull.stl;Geometry/hat_ribs.stl
iliacus_r_iliacus_r-P3,pelvis,iliacus_r_iliacus_r-P3_x,slide,1.0 -0.0 0.0,-0.0288,-0.0258,0.0,-0.0811,0.0,True,
iliacus_r_iliacus_r-P3,pelvis,iliacus_r_iliacus_r-P3_y,slide,0.0 -0.0 1.0,-0.0805,-0.055,0.0,-0.0811,0.0,True,
psoas_r_psoas_r-P3,pelvis,psoas_r_psoas_r-P3_x,slide,1.0 -0.0 0.0,-0.0288,-0.0238,0.0,-0.0,0.0,True,
psoas_r_psoas_r-P3,pelvis,psoas_r_psoas_r-P3_y,slide,0.0 -0.0 1.0,-0.0805,-0.057,0.0,-0.0,0.0,True,
psoas_r_psoas_r-P3,pelvis,psoas_r_psoas_r-P3_z,slide,0.0 -1.0 0.0,0.0759,0.0816,0.0,-0.0,0.0,True,
iliacus_l_iliacus_l-P3,pelvis,iliacus_l_iliacus_l-P3_x,slide,1.0 -0.0 0.0,-0.0288,-0.0258,0.0,0.0816,0.0,True,
iliacus_l_iliacus_l-P3,pelvis,iliacus_l_iliacus_l-P3_y,slide,0.0 -0.0 1.0,-0.0805,-0.055,0.0,0.0816,0.0,True,
psoas_l_psoas_l-P3,pelvis,psoas_l_psoas_l-P3_x,slide,1.0 -0.0 0.0,-0.0288,-0.0238,0.0,-0.0,0.0,True,
psoas_l_psoas_l-P3,pelvis,psoas_l_psoas_l-P3_y,slide,0.0 -0.0 1.0,-0.0805,-0.057,0.0,-0.0,0.0,True,
psoas_l_psoas_l-P3,pelvis,psoas_l_psoas_l-P3_z,slide,0.0 -1.0 0.0,-0.0816,-0.0759,0.0,-0.0,0.0,True,
