Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.669780,-0.309790,0.933590,0.684110,-0.229500,0.809870,0.575580,-0.249530,0.417730,0.206950,-0.233320,0.518270,0.088080,-0.232340,0.435330,0.671700,-0.416780,0.838710,0.846980,-0.386950,0.466070,0.912840,-0.346100,0.084040,1.061110,-0.349500,0.071410
2.000000,0.690710,-0.309220,0.929580,0.706680,-0.229530,0.805480,0.608290,-0.247380,0.412170,0.243360,-0.232690,0.521000,0.123100,-0.230180,0.440720,0.692300,-0.416540,0.835190,0.867460,-0.386190,0.462410,0.920910,-0.343040,0.079530,1.066890,-0.348010,0.060590
3.000000,0.711530,-0.308640,0.925510,0.729030,-0.229530,0.801050,0.641610,-0.245200,0.406630,0.280410,-0.232020,0.523410,0.158660,-0.228050,0.445660,0.712740,-0.416240,0.831600,0.887900,-0.385430,0.458810,0.928050,-0.340060,0.075470,1.071770,-0.346510,0.050210
4.000000,0.732240,-0.308060,0.921450,0.751120,-0.229490,0.796640,0.675540,-0.243010,0.401260,0.317940,-0.231340,0.525320,0.194720,-0.226010,0.449820,0.733000,-0.415900,0.827970,0.908270,-0.384690,0.455360,0.934310,-0.337210,0.071990,1.075780,-0.345030,0.040690
5.000000,0.752860,-0.307510,0.917480,0.772890,-0.229400,0.792330,0.710080,-0.240850,0.396200,0.355810,-0.230640,0.526560,0.231190,-0.224080,0.452930,0.753090,-0.415520,0.824380,0.928530,-0.383980,0.452100,0.939720,-0.334550,0.069190,1.079000,-0.343610,0.032280
6.000000,0.773390,-0.306980,0.913660,0.794330,-0.229260,0.788200,0.745220,-0.238760,0.391600,0.393860,-0.229950,0.527010,0.268020,-0.222300,0.454740,0.773020,-0.415110,0.820880,0.948610,-0.383330,0.449070,0.944320,-0.332120,0.067110,1.081500,-0.342260,0.025140
7.000000,0.793860,-0.306500,0.910080,0.815450,-0.229080,0.784320,0.780950,-0.236760,0.387620,0.431920,-0.229280,0.526580,0.305170,-0.220690,0.455050,0.792830,-0.414680,0.817540,0.968410,-0.382740,0.446270,0.948150,-0.329990,0.065750,1.083360,-0.341050,0.019270
8.000000,0.814310,-0.306080,0.906780,0.836260,-0.228860,0.780760,0.817230,-0.234880,0.384400,0.469850,-0.228630,0.525230,0.342580,-0.219240,0.453730,0.812580,-0.414250,0.814410,0.987800,-0.382220,0.443650,0.951270,-0.328180,0.065050,1.084680,-0.340020,0.014600
9.000000,0.834780,-0.305710,0.903840,0.856820,-0.228600,0.777570,0.854020,-0.233140,0.382050,0.507520,-0.228000,0.522920,0.380240,-0.217960,0.450680,0.832310,-0.413820,0.811540,1.006600,-0.381770,0.441130,0.953770,-0.326690,0.064870,1.085550,-0.339190,0.011000
10.000000,0.855310,-0.305410,0.901280,0.877210,-0.228290,0.774820,0.891270,-0.231540,0.380670,0.544820,-0.227390,0.519670,0.418120,-0.216830,0.445880,0.852100,-0.413400,0.808960,1.024610,-0.381400,0.438600,0.955740,-0.325470,0.065080,1.086050,-0.338550,0.008310
11.000000,0.875940,-0.305180,0.899150,0.897500,-0.227930,0.772540,0.928880,-0.230090,0.380350,0.581670,-0.226810,0.515490,0.456220,-0.215850,0.439350,0.872040,-0.412990,0.806700,1.041650,-0.381080,0.435920,0.957260,-0.324440,0.065530,1.086260,-0.338080,0.006380
12.000000,0.896720,-0.305000,0.897450,0.917800,-0.227510,0.770770,0.966790,-0.228790,0.381130,0.618020,-0.226250,0.510410,0.494580,-0.214990,0.431130,0.892210,-0.412580,0.804770,1.057520,-0.380790,0.432980,0.958390,-0.323540,0.066080,1.086240,-0.337760,0.005030
13.000000,0.917680,-0.304870,0.896210,0.938190,-0.227030,0.769520,1.004880,-0.227650,0.383040,0.653870,-0.225750,0.504470,0.533220,-0.214250,0.421340,0.912690,-0.412170,0.803170,1.072120,-0.380500,0.429730,0.959220,-0.322680,0.066620,1.086040,-0.337560,0.004140
14.000000,0.938840,-0.304790,0.895430,0.958750,-0.226480,0.768810,1.043060,-0.226650,0.386070,0.689250,-0.225290,0.497710,0.572180,-0.213600,0.410100,0.933530,-0.411760,0.801920,1.085380,-0.380180,0.426160,0.959780,-0.321820,0.067120,1.085700,-0.337460,0.003560
15.000000,0.960230,-0.304750,0.895110,0.979550,-0.225870,0.768630,1.081190,-0.225800,0.390220,0.724210,-0.224910,0.490170,0.611520,-0.213040,0.397590,0.954790,-0.411340,0.801010,1.097330,-0.379790,0.422360,0.960150,-0.320950,0.067560,1.085260,-0.337410,0.003210
16.000000,0.981890,-0.304740,0.895240,1.000630,-0.225190,0.768990,1.119170,-0.225080,0.395430,0.758840,-0.224620,0.481900,0.651300,-0.212560,0.383980,0.976500,-0.410900,0.800440,1.108010,-0.379310,0.418460,0.960370,-0.320060,0.068000,1.084730,-0.337400,0.002990
17.000000,1.003810,-0.304760,0.895820,1.022030,-0.224440,0.769870,1.156860,-0.224490,0.401640,0.793230,-0.224410,0.472910,0.691580,-0.212130,0.369450,0.998680,-0.410440,0.800200,1.117540,-0.378740,0.414620,0.960490,-0.319160,0.068510,1.084140,-0.337400,0.002830
18.000000,1.026020,-0.304800,0.896820,1.043770,-0.223610,0.771260,1.194160,-0.224020,0.408790,0.827480,-0.224300,0.463260,0.732400,-0.211750,0.354170,1.021320,-0.409930,0.800290,1.126030,-0.378080,0.411030,0.960580,-0.318310,0.069180,1.083500,-0.337390,0.002690
19.000000,1.048530,-0.304850,0.898220,1.065840,-0.222690,0.773140,1.230940,-0.223680,0.416770,0.861690,-0.224280,0.452980,0.773820,-0.211400,0.338320,1.044420,-0.409360,0.800690,1.133620,-0.377350,0.407880,0.960690,-0.317530,0.070110,1.082820,-0.337370,0.002530
20.000000,1.071340,-0.304920,0.900000,1.088240,-0.221680,0.775490,1.267110,-0.223440,0.425470,0.895970,-0.224360,0.442100,0.815880,-0.211040,0.322030,1.067940,-0.408710,0.801370,1.140460,-0.376580,0.405360,0.960890,-0.316870,0.071390,1.082120,-0.337340,0.002330
21.000000,1.094450,-0.304990,0.902130,1.110960,-0.220560,0.778280,1.302570,-0.223310,0.434740,0.930410,-0.224530,0.430660,0.858610,-0.210640,0.305440,1.091860,-0.407960,0.802310,1.146710,-0.375800,0.403610,0.961270,-0.316390,0.073090,1.081410,-0.337300,0.002090
22.000000,1.117850,-0.305070,0.904560,1.133970,-0.219320,0.781470,1.337240,-0.223270,0.444460,0.965110,-0.224820,0.418690,0.902060,-0.210190,0.288670,1.116130,-0.407090,0.803470,1.152520,-0.375050,0.402730,0.961910,-0.316130,0.075310,1.080710,-0.337260,0.001780
23.000000,1.141520,-0.305130,0.907260,1.157240,-0.217940,0.785030,1.371050,-0.223320,0.454450,1.000180,-0.225220,0.406190,0.946250,-0.209680,0.271850,1.140710,-0.406080,0.804830,1.158080,-0.374360,0.402810,0.962890,-0.316140,0.078090,1.080030,-0.337230,0.001440
24.000000,1.165450,-0.305180,0.910210,1.180760,-0.216430,0.788930,1.403970,-0.223460,0.464540,1.035700,-0.225760,0.393220,0.991230,-0.209120,0.255110,1.165540,-0.404910,0.806350,1.163560,-0.373750,0.403870,0.964310,-0.316490,0.081480,1.079400,-0.337220,0.001070
25.000000,1.189610,-0.305210,0.913340,1.204490,-0.214790,0.793130,1.435940,-0.223660,0.474570,1.071770,-0.226400,0.379790,1.036990,-0.208540,0.238580,1.190560,-0.403590,0.808000,1.169150,-0.373240,0.405900,0.966280,-0.317200,0.085500,1.078840,-0.337250,0.000720
26.000000,1.213970,-0.305190,0.916640,1.228400,-0.213010,0.797570,1.466960,-0.223920,0.484370,1.108470,-0.227130,0.365990,1.083530,-0.207980,0.222390,1.215730,-0.402090,0.809760,1.175030,-0.372860,0.408840,0.968870,-0.318310,0.090160,1.078370,-0.337330,0.000420
27.000000,1.238500,-0.305130,0.920050,1.252450,-0.211120,0.802210,1.497010,-0.224220,0.493790,1.145830,-0.227910,0.351880,1.130810,-0.207490,0.206650,1.240980,-0.400440,0.811610,1.181370,-0.372580,0.412650,0.972180,-0.319820,0.095450,1.078030,-0.337470,0.000250
28.000000,1.263160,-0.305010,0.923550,1.276610,-0.209150,0.806980,1.526130,-0.224550,0.502710,1.183900,-0.228700,0.337560,1.178810,-0.207140,0.191460,1.266250,-0.398650,0.813530,1.188350,-0.372420,0.417230,0.976280,-0.321730,0.101320,1.077850,-0.337690,0.000290
29.000000,1.287910,-0.304820,0.927090,1.300840,-0.207110,0.811830,1.554340,-0.224910,0.510990,1.222660,-0.229450,0.323130,1.227460,-0.206970,0.176890,1.291490,-0.396740,0.815520,1.196110,-0.372330,0.422460,0.981230,-0.324000,0.107750,1.077870,-0.337990,0.000640
30.000000,1.312710,-0.304580,0.930650,1.325090,-0.205060,0.816690,1.581670,-0.225300,0.518570,1.262080,-0.230130,0.308670,1.276720,-0.207070,0.163040,1.316630,-0.394760,0.817570,1.204790,-0.372300,0.428240,0.987050,-0.326580,0.114700,1.078150,-0.338390,0.001420
31.000000,1.337510,-0.304270,0.934170,1.349340,-0.203020,0.821490,1.608190,-0.225700,0.525350,1.302110,-0.230710,0.294280,1.326510,-0.207470,0.149960,1.341630,-0.392750,0.819680,1.214500,-0.372290,0.434430,0.993740,-0.329390,0.122130,1.078730,-0.338890,0.002740
32.000000,1.362280,-0.303910,0.937650,1.373540,-0.201050,0.826170,1.633930,-0.226110,0.531300,1.342690,-0.231180,0.280040,1.376790,-0.208240,0.137710,1.366440,-0.390760,0.821830,1.225350,-0.372290,0.440880,1.001270,-0.332340,0.130010,1.079670,-0.339490,0.004740
33.000000,1.386970,-0.303500,0.941050,1.397660,-0.199170,0.830670,1.658930,-0.226530,0.536380,1.383730,-0.231540,0.266020,1.427470,-0.209390,0.126370,1.391010,-0.388840,0.824040,1.237410,-0.372270,0.447420,1.009580,-0.335330,0.138330,1.081040,-0.340200,0.007530
34.000000,1.411540,-0.303060,0.944350,1.421650,-0.197430,0.834940,1.683210,-0.226950,0.540540,1.425150,-0.231800,0.252260,1.478470,-0.210940,0.116010,1.415330,-0.387030,0.826280,1.250730,-0.372220,0.453910,1.018600,-0.338280,0.147100,1.082880,-0.341020,0.011240
35.000000,1.435940,-0.302610,0.947520,1.445490,-0.195860,0.838920,1.706800,-0.227360,0.543790,1.466890,-0.231980,0.238820,1.529690,-0.212870,0.106680,1.439360,-0.385380,0.828570,1.265360,-0.372130,0.460170,1.028230,-0.341070,0.156300,1.085230,-0.341920,0.015980
36.000000,1.460160,-0.302140,0.950560,1.469150,-0.194470,0.842590,1.729710,-0.227750,0.546110,1.508860,-0.232100,0.225730,1.581000,-0.215170,0.098480,1.463100,-0.383910,0.830900,1.281300,-0.371980,0.466060,1.038380,-0.343640,0.165980,1.088140,-0.342890,0.021850
37.000000,1.484150,-0.301690,0.953440,1.492620,-0.193290,0.845930,1.751940,-0.228100,0.547500,1.551000,-0.232200,0.213050,1.632270,-0.217770,0.091470,1.486550,-0.382660,0.833240,1.298550,-0.371780,0.471430,1.048950,-0.345940,0.176150,1.091620,-0.343910,0.028910
38.000000,1.507900,-0.301250,0.956150,1.515890,-0.192320,0.848910,1.773480,-0.228410,0.547960,1.593250,-0.232300,0.200840,1.683320,-0.220610,0.085710,1.509730,-0.381640,0.835570,1.317080,-0.371520,0.476190,1.059890,-0.347940,0.186860,1.095720,-0.344950,0.037190
39.000000,1.531400,-0.300840,0.958680,1.538960,-0.191550,0.851540,1.794360,-0.228660,0.547520,1.635500,-0.232440,0.189190,1.733950,-0.223610,0.081270,1.532660,-0.380850,0.837880,1.336830,-0.371210,0.480250,1.071170,-0.349630,0.198130,1.100450,-0.345990,0.046690
40.000000,1.554660,-0.300470,0.961010,1.561860,-0.190980,0.853810,1.814560,-0.228840,0.546190,1.677620,-0.232650,0.178210,1.783960,-0.226660,0.078170,1.555380,-0.380270,0.840120,1.357740,-0.370840,0.483550,1.082800,-0.351050,0.210000,1.105840,-0.346990,0.057350
41.000000,1.577670,-0.300130,0.963120,1.584620,-0.190590,0.855750,1.834100,-0.228920,0.544030,1.719440,-0.232950,0.168020,1.833100,-0.229680,0.076410,1.577950,-0.379890,0.842240,1.379730,-0.370430,0.486070,1.094860,-0.352220,0.222460,1.111890,-0.347950,0.069090
42.000000,1.600460,-0.299840,0.965000,1.607250,-0.190350,0.857350,1.853030,-0.228910,0.541080,1.760780,-0.233370,0.158710,1.881130,-0.232570,0.075940,1.600400,-0.379670,0.844200,1.402690,-0.369980,0.487830,1.107450,-0.353180,0.235510,1.118640,-0.348840,0.081810
43.000000,1.623030,-0.299600,0.966620,1.629800,-0.190250,0.858640,1.871370,-0.228800,0.537430,1.801440,-0.233910,0.150390,1.927810,-0.235260,0.076680,1.622790,-0.379590,0.845940,1.426520,-0.369480,0.488840,1.120690,-0.353980,0.249110,1.126120,-0.349660,0.095400
44.000000,1.645420,-0.299400,0.967960,1.652300,-0.190250,0.859610,1.889220,-0.228580,0.533170,1.841210,-0.234590,0.143100,1.972890,-0.237690,0.078500,1.645140,-0.379620,0.847420,1.451130,-0.368930,0.489160,1.134750,-0.354660,0.263180,1.134380,-0.350390,0.109770
45.000000,1.667650,-0.299260,0.969010,1.674770,-0.190330,0.860270,1.906640,-0.228260,0.528420,1.879840,-0.235390,0.136880,2.016140,-0.239830,0.081220,1.667490,-0.379730,0.848600,1.476410,-0.368330,0.488810,1.149750,-0.355230,0.277670,1.143530,-0.351060,0.124790
46.000000,1.689730,-0.299160,0.969730,1.697210,-0.190480,0.860640,1.923740,-0.227830,0.523320,1.917120,-0.236310,0.131700,2.057370,-0.241660,0.084620,1.689860,-0.379900,0.849430,1.502280,-0.367690,0.487860,1.165850,-0.355730,0.292460,1.153650,-0.351660,0.140350
47.000000,1.711690,-0.299120,0.970110,1.719650,-0.190660,0.860700,1.940650,-0.227300,0.518030,1.952850,-0.237310,0.127460,2.096420,-0.243180,0.088450,1.712240,-0.380110,0.849910,1.528670,-0.366990,0.486340,1.183180,-0.356150,0.307440,1.164860,-0.352220,0.156340
48.000000,1.733560,-0.299130,0.970130,1.742060,-0.190880,0.860470,1.957490,-0.226660,0.512680,1.986850,-0.238380,0.124050,2.133140,-0.244430,0.092420,1.734650,-0.380350,0.850020,1.555530,-0.366280,0.484290,1.201850,-0.356500,0.322510,1.177290,-0.352750,0.172640
49.000000,1.755340,-0.299190,0.969780,1.764450,-0.191130,0.859950,1.974400,-0.225930,0.507420,2.019020,-0.239490,0.121290,2.167450,-0.245430,0.096240,1.757070,-0.380610,0.849760,1.582820,-0.365570,0.481730,1.221960,-0.356760,0.337490,1.191040,-0.353260,0.189110
50.000000,1.777040,-0.299300,0.969060,1.786790,-0.191390,0.859130,1.991510,-0.225100,0.502380,2.049250,-0.240620,0.118980,2.199290,-0.246250,0.099620,1.779470,-0.380880,0.849140,1.610510,-0.364880,0.478710,1.243560,-0.356930,0.352230,1.206210,-0.353770,0.205600
51.000000,1.798690,-0.299450,0.967970,1.809060,-0.191670,0.858010,2.008920,-0.224200,0.497650,2.077510,-0.241720,0.116910,2.228670,-0.246930,0.102270,1.801850,-0.381180,0.848180,1.638580,-0.364260,0.475250,1.266700,-0.356990,0.366560,1.222870,-0.354290,0.221980
52.000000,1.820270,-0.299650,0.966510,1.831240,-0.191970,0.856600,2.026720,-0.223250,0.493300,2.103760,-0.242770,0.114880,2.255580,-0.247500,0.103960,1.824180,-0.381480,0.846880,1.667040,-0.363730,0.471380,1.291350,-0.356930,0.380340,1.241090,-0.354820,0.238080
53.000000,1.841800,-0.299870,0.964690,1.853320,-0.192280,0.854900,2.044960,-0.222260,0.489360,2.127990,-0.243750,0.112700,2.280090,-0.248010,0.104480,1.846450,-0.381810,0.845260,1.695880,-0.363340,0.467130,1.317480,-0.356780,0.393410,1.260900,-0.355370,0.253760
54.000000,1.863270,-0.300120,0.962540,1.875290,-0.192600,0.852920,2.063690,-0.221260,0.485830,2.150240,-0.244630,0.110220,2.302250,-0.248470,0.103670,1.868650,-0.382140,0.843330,1.725100,-0.363100,0.462550,1.345020,-0.356530,0.405680,1.282300,-0.355960,0.268860
55.000000,1.884690,-0.300380,0.960050,1.897160,-0.192930,0.850640,2.082900,-0.220250,0.482670,2.170550,-0.245400,0.107330,2.322130,-0.248890,0.101440,1.890770,-0.382480,0.841100,1.754710,-0.363050,0.457660,1.373860,-0.356220,0.417050,1.305280,-0.356600,0.283220
56.000000,1.906060,-0.300650,0.957260,1.918930,-0.193260,0.848080,2.102560,-0.219260,0.479790,2.188970,-0.246070,0.103970,2.339820,-0.249280,0.097760,1.912840,-0.382820,0.838570,1.784720,-0.363210,0.452500,1.403890,-0.355860,0.427430,1.329790,-0.357280,0.296720
57.000000,1.927370,-0.300910,0.954180,1.940600,-0.193600,0.845250,2.122610,-0.218300,0.477120,2.205590,-0.246650,0.100120,2.355420,-0.249630,0.092680,1.934860,-0.383170,0.835750,1.815140,-0.363590,0.447130,1.435010,-0.355470,0.436760,1.355780,-0.358010,0.309230
58.000000,1.948620,-0.301170,0.950840,1.962180,-0.193930,0.842170,2.143010,-0.217370,0.474550,2.220450,-0.247220,0.095850,2.369000,-0.249940,0.086290,1.956830,-0.383510,0.832660,1.845970,-0.364190,0.441600,1.467070,-0.355050,0.444990,1.383140,-0.358780,0.320650
59.000000,1.969820,-0.301410,0.947260,1.983650,-0.194250,0.838850,2.163680,-0.216480,0.471990,2.233640,-0.247830,0.091230,2.380690,-0.250200,0.078770,1.978780,-0.383840,0.829300,1.877220,-0.365010,0.435960,1.499970,-0.354630,0.452090,1.411800,-0.359590,0.330900
60.000000,1.990970,-0.301630,0.943470,2.005010,-0.194560,0.835330,2.184550,-0.215660,0.469350,2.245210,-0.248590,0.086400,2.390580,-0.250430,0.070380,2.000710,-0.384160,0.825710,1.908900,-0.366030,0.430270,1.533590,-0.354190,0.458020,1.441640,-0.360410,0.339910
61.000000,2.012060,-0.301830,0.939510,2.026230,-0.194840,0.831630,2.205560,-0.214920,0.466570,2.255230,-0.249570,0.081540,2.398820,-0.250680,0.061460,2.022600,-0.384450,0.821910,1.941020,-0.367230,0.424620,1.567810,-0.353760,0.462780,1.472560,-0.361240,0.347640
62.000000,2.033090,-0.302010,0.935430,2.047290,-0.195090,0.827790,2.226640,-0.214270,0.463630,2.263750,-0.250850,0.076840,2.405530,-0.250980,0.052390,2.044460,-0.384710,0.817940,1.973570,-0.368580,0.419090,1.602530,-0.353350,0.466380,1.504440,-0.362050,0.354040
