Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.190690,-0.290750,0.898700,0.191340,-0.205210,0.775980,0.126840,-0.181640,0.374810,-0.219710,-0.211280,0.195020,-0.229920,-0.217580,0.053160,0.213330,-0.392030,0.801990,0.422660,-0.356740,0.449580,0.406300,-0.329550,0.066420,0.543670,-0.342260,0.017060
2.000000,0.200660,-0.291170,0.899520,0.201990,-0.205960,0.776550,0.144970,-0.181470,0.374210,-0.203830,-0.210320,0.199710,-0.216400,-0.216560,0.057500,0.223490,-0.392770,0.803060,0.429660,-0.356970,0.448810,0.407110,-0.329150,0.066190,0.543780,-0.342270,0.016010
3.000000,0.210580,-0.291620,0.900480,0.212570,-0.206700,0.777310,0.163130,-0.181310,0.374020,-0.187410,-0.209370,0.204020,-0.201570,-0.215480,0.061550,0.233640,-0.393500,0.804180,0.436160,-0.357160,0.448020,0.407840,-0.328740,0.066000,0.543810,-0.342270,0.015160
4.000000,0.220460,-0.292110,0.901610,0.223050,-0.207410,0.778250,0.181310,-0.181160,0.374250,-0.170480,-0.208410,0.207890,-0.185520,-0.214340,0.065210,0.243750,-0.394210,0.805370,0.442210,-0.357320,0.447250,0.408460,-0.328350,0.065850,0.543790,-0.342250,0.014480
5.000000,0.230300,-0.292610,0.902890,0.233420,-0.208070,0.779400,0.199500,-0.180990,0.374880,-0.153050,-0.207430,0.211260,-0.168330,-0.213150,0.068420,0.253810,-0.394890,0.806630,0.447820,-0.357450,0.446540,0.409000,-0.328000,0.065740,0.543710,-0.342230,0.013940
6.000000,0.240100,-0.293120,0.904350,0.243660,-0.208660,0.780760,0.217710,-0.180810,0.375920,-0.135180,-0.206410,0.214100,-0.150090,-0.211930,0.071130,0.263790,-0.395520,0.808000,0.453030,-0.357550,0.445920,0.409440,-0.327700,0.065670,0.543600,-0.342200,0.013500
7.000000,0.249860,-0.293630,0.905980,0.253780,-0.209190,0.782330,0.235940,-0.180630,0.377330,-0.116900,-0.205340,0.216390,-0.130880,-0.210680,0.073310,0.273670,-0.396080,0.809480,0.457870,-0.357650,0.445390,0.409790,-0.327460,0.065660,0.543450,-0.342180,0.013130
8.000000,0.259600,-0.294120,0.907780,0.263770,-0.209640,0.784100,0.254200,-0.180450,0.379090,-0.098220,-0.204250,0.218130,-0.110780,-0.209420,0.074940,0.283460,-0.396570,0.811090,0.462350,-0.357750,0.444950,0.410070,-0.327290,0.065680,0.543290,-0.342160,0.012840
9.000000,0.269310,-0.294600,0.909760,0.273640,-0.210010,0.786070,0.272500,-0.180280,0.381170,-0.079190,-0.203130,0.219310,-0.089860,-0.208140,0.076030,0.293160,-0.396990,0.812830,0.466510,-0.357860,0.444590,0.410270,-0.327170,0.065750,0.543100,-0.342140,0.012580
10.000000,0.279000,-0.295040,0.911890,0.283420,-0.210300,0.788220,0.290810,-0.180130,0.383540,-0.059810,-0.202030,0.219960,-0.068160,-0.206860,0.076580,0.302760,-0.397340,0.814720,0.470360,-0.357990,0.444310,0.410400,-0.327130,0.065850,0.542900,-0.342140,0.012370
11.000000,0.288680,-0.295450,0.914170,0.293130,-0.210520,0.790550,0.309140,-0.180000,0.386180,-0.040090,-0.200950,0.220060,-0.045740,-0.205570,0.076620,0.312290,-0.397630,0.816730,0.473910,-0.358130,0.444090,0.410460,-0.327130,0.065990,0.542680,-0.342140,0.012190
12.000000,0.298350,-0.295830,0.916580,0.302770,-0.210680,0.793030,0.327450,-0.179900,0.389070,-0.020050,-0.199940,0.219640,-0.022630,-0.204270,0.076180,0.321740,-0.397850,0.818870,0.477190,-0.358310,0.443900,0.410450,-0.327180,0.066180,0.542450,-0.342160,0.012020
